trial,state,value,lr,channels,dropout,weight_power,state_loss_weight,label_smoothing,batch_size
0,COMPLETE,0.3066,0.0005611516415334506,128,0.39279757672456206,0.7190609389379257,0.24041677639819287,0.031198904067240532,128
1,COMPLETE,0.2507,0.0026070247583707684,32,0.4879639408647978,0.8827098485602951,0.29110519961044856,0.03636499344142013,256
2,COMPLETE,0.3223,0.0007309539835912913,64,0.34474115788895177,0.3976457024564293,0.3629301836816964,0.07327236865873835,128
3,COMPLETE,0.3109,0.0010677482709481358,96,0.1185801650879991,0.7252813963310067,0.2534717113185624,0.013010318597055905,128
4,COMPLETE,0.3065,0.0004066563313514797,32,0.3736932106048628,0.6081067456177209,0.20983441136030095,0.09903538202225404,128
5,PRUNED,0.014,0.0021137059440645744,64,0.3080272084711243,0.6826971955402957,0.26636900997297436,0.19391692555291173,128
6,COMPLETE,0.3359,0.0015696396388661157,128,0.1353970008207678,0.4371880036934016,0.14070456001948428,0.06506606615265287,256
7,PRUNED,0.2885,0.0005170191786366995,48,0.31707843326329943,0.3986469574823338,0.8219772826786357,0.014910128735954166,64
8,RUNNING,,0.00010257563974185662,112,0.38274293753904687,0.810305017628691,0.7941433120173511,0.014808930346818072,256
9,COMPLETE,0.3066,0.0005611516415334506,128,0.39279757672456206,0.7190609389379257,0.24041677639819287,0.031198904067240532,128
10,PRUNED,0.2407,0.0026070247583707684,32,0.4879639408647978,0.8827098485602951,0.29110519961044856,0.03636499344142013,256
11,COMPLETE,0.333,0.0001248821547355907,96,0.10301892772651738,0.3125733129303738,0.5641835451599275,0.16043997363603443,256
12,RUNNING,,0.00011365162033600233,96,0.10145753169053466,0.30612315687802744,0.6026722577013611,0.16190670168572985,256
13,COMPLETE,0.3349,0.00011139132536302521,96,0.10301892772651738,0.3038534834159747,0.5581109261333496,0.16043997363603443,256
14,PRUNED,0.2988,0.008225893830356434,96,0.1926007488613413,0.49653266796779294,0.6026722577013611,0.12514301150045296,256
15,COMPLETE,0.3327,0.00011760215873726251,112,0.18668195391514447,0.3029225694010924,0.8976725153285711,0.13642129653948565,256
16,PRUNED,0.2579,0.009894119249674916,112,0.1841040286475305,0.5031385391551759,0.48109348482829567,0.19439097814950615,64
17,COMPLETE,0.328,0.00023717300866001888,80,0.24387401636659164,0.45221694404214324,0.12299454532948884,0.07063310575164239,256
18,PRUNED,0.2716,0.00023336621522422583,112,0.14313255387960994,0.5752034447073191,0.7249517500191263,0.1561338035887187,256
19,COMPLETE,0.3441,0.004904890535687489,128,0.23762829064257907,0.38223661195037406,0.9803520155034677,0.08090646775651301,256
20,COMPLETE,0.3406,0.00514512299282196,128,0.25011242411516404,0.3991089691566459,0.9795398190355702,0.07038329233780218,64
21,RUNNING,,0.004776156391265505,128,0.25743639570389365,0.5752060363735043,0.9954061343256665,0.09887420733849121,64
22,PRUNED,0.3206,0.00491825410573216,128,0.25014464541620834,0.5427956239846353,0.9918402197979529,0.09994564198513839,64
23,PRUNED,0.0105,0.005006920903214228,112,0.2518416973680894,0.9772755040633525,0.9709872168322875,0.09246891728432907,64
24,COMPLETE,0.3294,0.0016083267200783893,128,0.22660331689245256,0.40927643399154656,0.7609122401194026,0.059916706775916935,64
25,COMPLETE,0.3258,0.004277775020874799,128,0.2921891768486896,0.3760962868890174,0.8437592593155081,0.06446296473140413,64
26,PRUNED,0.3036,0.006367017183989292,112,0.16561975534902273,0.4739997520429224,0.687579387308659,0.08515057938753544,256
27,COMPLETE,0.3304,0.0034025123204355703,128,0.21412134681688724,0.35073097005297194,0.4356113570269836,0.05227870913524281,256
28,PRUNED,0.2976,0.0013109833200274275,112,0.27229278362166776,0.44882840450220224,0.9175988381251604,0.10547749914561289,64
29,PRUNED,0.3175,0.0034894071503845502,128,0.16002027436184285,0.5441253122662641,0.6569009898205538,0.1197696552100144,256
30,RUNNING,,0.006504118152992534,128,0.1368451336252114,0.6295762265395104,0.7780795888876403,0.049682075886976804,64
31,PRUNED,0.2573,0.0018901212448894085,128,0.1377991042140752,0.6284021046510304,0.8055141633492047,0.08206283719902618,64
32,PRUNED,0.2901,0.007266055540843352,112,0.44390498399802647,0.4331066160491089,0.11121910679253566,0.0504412695737948,256
33,COMPLETE,0.3262,0.0009200102360207912,128,0.2771200794700322,0.3525563417440564,0.9173081890324392,0.11040524801510382,64
34,COMPLETE,0.3326,0.0029112854282997056,128,0.34042838180305085,0.5218096913618411,0.4715776593809629,0.0040483089703974295,256
35,PRUNED,0.3026,0.0002817662589452181,80,0.10822634900267453,0.3364397965477157,0.5472069967710159,0.14933002974480514,256
36,PRUNED,0.3027,0.00016747586670819945,80,0.20806123186577416,0.36959642228959894,0.3524476652296221,0.1746740461409329,256
37,PRUNED,0.3018,0.005400294679150163,96,0.13974366058443752,0.4098767641748463,0.8603510840766024,0.0448225910914641,256
38,COMPLETE,0.3422,0.003908623119621017,96,0.12514131672652282,0.3013306416593577,0.3868412086029066,0.08017900984425462,256
39,PRUNED,0.2992,0.003959219662703285,112,0.16372613747630116,0.4375259103967,0.17922708746480331,0.0780395240224673,256
40,PRUNED,0.2576,0.0021943263658523735,64,0.1271828213972227,0.3869740208161809,0.32809866623713596,0.06321626715900043,128
41,COMPLETE,0.3221,0.006151186739198705,48,0.23421376508475636,0.4715180669857103,0.4009378187449411,0.09199724177490369,256
42,RUNNING,,0.0013970011555126019,96,0.3317250900181436,0.3320555666554294,0.9552293225978483,0.025271108079001882,128
43,RUNNING,,0.0013411110592690687,96,0.3351857423171771,0.33567062312202506,0.1855493758908452,0.02540495428474729,128
44,RUNNING,,0.0013411110592690687,96,0.3351857423171771,0.33567062312202506,0.1855493758908452,0.02540495428474729,128
45,PRUNED,0.3074,0.0013411110592690687,96,0.3351857423171771,0.33567062312202506,0.1855493758908452,0.02540495428474729,128
46,PRUNED,0.1906,0.000938024163525956,80,0.19964832914340697,0.8028662674992268,0.9512287479763417,0.06976009595952122,256
