model,params,macro_f1,accuracy,qwk
gbm_default,sklearn defaults,0.2907,0.507,0.162
gbm_randomsearch_best,"{""max_iter"": 200, ""max_depth"": 3, ""learning_rate"": 0.01, ""l2_regularization"": 0.1}",0.2717,0.368,0.1359
